,qus,ans
6546,Who was the director of It's in the Bag?,Herbert Mason
6547,Who was the director of Le Mentor?,Jean-Pierre Mocky
6548,Who was the director of Face?,Antonia Bird
6549,Who was the director of Black and White?,Cristina Comencini
6550,Who was the director of Stuff?,Johnny Depp
6551,Who was the director of Confession?,Ken Hughes
6552,Who was the director of While There is Still Time?,Charles Chauvel
6553,Who was the director of Kitchen?,Andy Warhol
6554,Who was the director of Take a Chance?,Sinclair Hill
6555,Who was the director of Den store gavtyv?,Johan Jacobsen
6556,Who was the director of Time and Tide?,Tsui Hark
6557,Who was the director of Whitney?,Angela Bassett
6558,Who was the director of The Take?,Avi Lewis
6559,Who was the director of The Night Has Eyes?,Leslie Arliss
6560,Who was the director of Too Much (Little) Love?,Jacques Doillon
6561,Who was the director of When Angels Sing?,Tim McCanlies
6562,Who was the director of Hitlerjunge Quex?,Hans Steinhoff
6563,Who was the director of Castle Freak?,Stuart Gordon
6564,Who was the director of Julie?,Blake Edwards
6565,Who was the director of The Great Outdoors?,Howard Deutch
6566,Who was the director of Skinner's Dress Suit?,William A. Seiter
6567,Who was the director of Neighbors?,Nicholas Stoller
6568,Who was the director of Riders of the Purple Sage?,James Tinling
6569,Who was the director of New World?,Park Hoon-jung
6570,Who was the director of The Physician?,Georg Jacoby
6571,Who was the director of 99?,Michael Curtiz
6572,Who was the director of Gentleman's Intermission?,Don Scardino
6573,Who was the director of El Último perro?,Lucas Demare
6574,Who was the director of Abouna?,Mahamat Saleh Haroun
6575,Who was the director of Lincoln?,Steven Spielberg
6576,Who was the director of Sunshine State?,John Sayles
6577,Who was the director of The Dilemma?,Ron Howard
6578,Who was the director of Bread and Circuses?,Ralph Senensky
6579,Who was the director of Holi?,Ketan Mehta
6580,Who was the director of The Raid?,Ching Siu-tung
6581,Who was the director of Delivering?,Todd Field
6582,Who was the director of Christmas Comes But Once a Year?,Michael Uppendahl
6583,Who was the director of A Flea in Her Ear?,Jacques Charon
6584,Who was the director of The Crossing?,John Woo
6585,Who was the director of Super Star?,Nagathihalli Chandrashekhar
6586,Who was the director of Mother?,Ali Hatami
6587,Who was the director of Mary?,Abel Ferrara
6588,Who was the director of The Easiest Way?,Albert Capellani
6589,Who was the director of Student?,Darezhan Omirbaev
6590,Who was the director of The Message?,Bobby Roth
6591,Who was the director of Privilege?,Peter Watkins
6592,Who was the director of Pilot?,Alex Graves
6593,Who was the director of Julie?,Poornima Indrajith
6594,Who was the director of Akashdeep?,Phani Majumdar
6595,Who was the director of The Confession?,Zeki Demirkubuz
6596,Who was the director of The Anniversary?,Roy Ward Baker
6597,Who was the director of Hugo?,Martin Scorsese
6598,Who was the director of Murder?,Greg Daniels
6599,Who was the director of Crash?,Paul Haggis
6600,Who was the director of Spider Lilies?,Zero Chou
6601,Who was the director of Middle of the Night?,Delbert Mann
6602,Who was the director of All or Nothing?,Mike Leigh
6603,Who was the director of Volunteers?,Nicholas Meyer
6604,Who was the director of Città violenta?,Sergio Sollima
6605,Who was the director of Revenge?,Crossbelt Mani
6606,Who was the director of The Rice People?,Tadashi Imai
6607,Who was the director of Eva?,Gustaf Molander
6608,Who was the director of The Betrayed?,Frans Weisz
6609,Who was the director of Space Seed?,Marc Daniels
6610,Who was the director of Lovely?,N. Sankaran Nair
6611,Who was the director of The Walk?,Robert Zemeckis
6612,Who was the director of The Cycle?,Dariush Mehrjui
6613,Who was the director of Score?,Radley Metzger
6614,Who was the director of Easy Money?,Daniel Espinosa
6615,Who was the director of Quartet?,Dustin Hoffman
6616,Who was the director of The East is Red?,Ching Siu-tung
6617,Who was the director of Beggar on Horseback?,James Cruze
6618,Who was the director of The National Health?,Jack Gold
6619,Who was the director of The Delivery?,Harold Ramis
6620,Who was the director of Las Vegas?,Gail Mancuso
6621,Who was the director of Total Recall?,Paul Verhoeven
6622,Who was the director of Leaving?,Catherine Corsini
6623,Who was the director of Two Women?,Tahmineh Milani
6624,Who was the director of Dutch?,Peter Faiman
6625,Who was the director of By Design?,Claude Jutra
6626,Who was the director of Sagar Sangamey?,Debaki Bose
6627,Who was the director of Black and White?,Craig Lahiff
6628,Who was the director of The Guru?,James Ivory
6629,Who was the director of Genesis?,David Semel
6630,Who was the director of Late Last Night?,Steven Brill
6631,Who was the director of From Time to Time?,Julian Fellowes
6632,Who was the director of Love Don't Cost a Thing?,Troy Beyer
6633,Who was the director of The Champ?,King Vidor
6634,Who was the director of Click?,Sangeeth Sivan
6635,Who was the director of Pariah?,Dee Rees
6636,Who was the director of Say My Name?,Thomas Schnauz
6637,Who was the director of Inside Out?,Ronnie del Carmen
6638,Who was the director of P?,Paul Spurrier
6639,Who was the director of The Shadow?,Russell Mulcahy
6640,Who was the director of Say the Word?,Gregory Nicotero
6641,Who was the director of Suspicion?,Alfred Hitchcock
6642,Who was the director of Breaking Bad?,Bryan Cranston
6643,Who was the director of The Transfer?,Holly Dale
6644,Who was the director of The Butterfly?,Tom Ricketts
6645,Who was the director of The School Teacher?,Nando Cicero
6646,Who was the director of The Cottage?,Paul Andrew Williams
6647,Who was the director of Children Without?,Charles Guggenheim
6648,Who was the director of Goodbye?,Brad Falchuk
6649,Who was the director of Metro?,Thomas Carter
6650,Who was the director of Green Hell?,James Whale
6651,Who was the director of Orlando?,Sally Potter
6652,Who was the director of Sacrifice?,Frank Reicher
6653,Who was the director of Women Who Work?,Manuel Romero
6654,Who was the director of Weight Loss?,Paul Feig
6655,Who was the director of Sun?,Alessandro Blasetti
6656,Who was the director of The Crew?,Michael Dinner
6657,Who was the director of Hollywood?,James Cruze
6658,Who was the director of A.I. Artificial Intelligence?,Steven Spielberg
6659,Who was the director of Trail?,Luis Moglia Barth
6660,Who was the director of The Toy?,Richard Donner
6661,Who was the director of Naughty @ 40?,Jag Mundhra
6662,Who was the director of Nashville?,Robert Altman
6663,Who was the director of The Bat?,Crane Wilbur
6664,Who was the director of My Wife?,Luigi Comencini
6665,Who was the director of The Dentist?,Brian Yuzna
6666,Who was the director of Society?,Brian Yuzna
6667,Who was the director of Crime Zone?,Luis Llosa
6668,Who was the director of Another Life?,Emmanuel Mouret
6669,Who was the director of The Promotion?,Steven Conrad
6670,Who was the director of Basement?,Topel Lee
6671,Who was the director of Miracle on 34th Street?,Les Mayfield
6672,Who was the director of Dragon?,Peter Chan
6673,Who was the director of Tracks?,Henry Jaglom
6674,Who was the director of Steve?,Rupert Friend
6675,Who was the director of Sunday?,Jonathan Nossiter
6676,Who was the director of Two of Us?,Michael Lindsay-Hogg
6677,Who was the director of The Navigator?,Buster Keaton
6678,Who was the director of Delicious?,David Butler
6679,Who was the director of Trojan Eddie?,Gillies MacKinnon
6680,Who was the director of Three the Hard Way?,"Gordon Parks, Jr."
6681,Who was the director of Turn to the Right?,Rex Ingram
6682,Who was the director of The Reader?,Michel Deville
6683,"Who was the director of South Park: Bigger, Longer & Uncut?",Trey Parker
6684,Who was the director of My House?,Junji Sakamoto
6685,Who was the director of Whiteboyz?,Marc Levin
6686,Who was the director of The Cook?,Roscoe Arbuckle
6687,Who was the director of The One and Only?,Carl Reiner
6688,Who was the director of The Ward?,John Carpenter
6689,Who was the director of Atomic Dog?,Brian Trenchard-Smith
6690,Who was the director of Breaking Bad?,John Shiban
6691,Who was the director of The Lobster?,Yorgos Lanthimos
6692,Who was the director of First Contact?,Bob Connolly
6693,Who was the director of The Good News?,Jennifer Getzinger
6694,Who was the director of Mute?,Melissa Joan Hart
6695,Who was the director of Help Wanted?,Hobart Bosworth
6696,Who was the director of That Summer?,Harley Cokeliss
6697,Who was the director of Tum Bin?,Anubhav Sinha
6698,Who was the director of Manhattan Murder Mystery?,Woody Allen
6699,Who was the director of Time Limit?,Karl Malden
6700,Who was the director of The Split?,Gordon Flemyng
6701,Who was the director of The Objective?,Daniel Myrick
6702,Who was the director of Demonia?,Lucio Fulci
6703,Who was the director of The Doors?,Oliver Stone
6704,Who was the director of The Naked Island?,Kaneto Shindō
6705,Who was the director of From Within?,Phedon Papamichael
6706,Who was the director of Love?,Edmund Goulding
6707,Who was the director of Out of the Blue?,Robert Sarkies
6708,Who was the director of The Ancestor?,Guido Brignone
6709,Who was the director of The Well?,Jonathan Frakes
6710,Who was the director of Seven?,Andy Sidaris
6711,Who was the director of Amar Bhoopali?,V. Shantaram
6712,Who was the director of Parking?,Jacques Demy
6713,Who was the director of The Interview?,Evan Goldberg
6714,Who was the director of LOL?,Lisa Azuelos
6715,Who was the director of Day Off?,Pascal Thomas
6716,Who was the director of Valfångare?,Anders Henrikson
6717,Who was the director of Thiruda Thiruda?,Mani Ratnam
6718,Who was the director of The Wonders?,Alice Rohrwacher
6719,Who was the director of Fear?,Alfred Zeisler
6720,Who was the director of Restless?,Joss Whedon
6721,Who was the director of Framed?,George Archainbaud
6722,Who was the director of The Bad Bunch?,Greydon Clark
6723,Who was the director of Prag?,Ole Christian Madsen
6724,Who was the director of Det var paa Rundetaarn?,Poul Bang
6725,Who was the director of Detective?,Jeethu Joseph
6726,Who was the director of The Fossil?,Masaki Kobayashi
6727,Who was the director of Too Short a Season?,Rob Bowman
6728,Who was the director of Voices?,Kevin Billington
6729,Who was the director of A Self-Made Failure?,William Beaudine
6730,Who was the director of The Great Wall?,Zhang Yimou
6731,Who was the director of Nebraska?,Alexander Payne
6732,Who was the director of Captain Thunderbolt?,Cecil Holmes
6733,Who was the director of Second Skin?,Gerardo Vera
6734,Who was the director of The Wedding?,Wojciech Smarzowski
6735,Who was the director of Like Crazy?,Drake Doremus
6736,Who was the director of The Crazy Companies II?,Wong Jing
6737,Who was the director of The Barrier?,Lesley Selander
6738,Who was the director of Kizhake Pogum Rail?,Bharathiraja
6739,Who was the director of Singapore?,Shakti Samanta
6740,Who was the director of His Hour?,King Vidor
6741,Who was the director of I Do?,Brad Falchuk
6742,Who was the director of Small Town?,Thomas Schlamme
6743,Who was the director of Ginger?,Shaji Kailas
6744,Who was the director of The Canadian?,William Beaudine
6745,Who was the director of Ninja Gaiden?,Tomonobu Itagaki
6746,Who was the director of Genius?,Babar Ahmad
6747,Who was the director of Destiny?,Mario Mattoli
6748,Who was the director of The Entity?,Sidney J. Furie
6749,Who was the director of Sacrifice?,Adam Davidson
6750,Who was the director of Pip?,Eric Stough
6751,Who was the director of Men and Women?,William Churchill deMille
6752,Who was the director of The Wrath of God?,Ralph Nelson
6753,Who was the director of Lebanon?,Samuel Maoz
6754,Who was the director of The People Against O'Hara?,John Sturges
6755,Who was the director of The Stranger?,Luchino Visconti
6756,Who was the director of The Hard Way?,John Badham
6757,Who was the director of Ico?,Fumito Ueda
6758,Who was the director of Without?,Mark Jackson
6759,Who was the director of Flying?,Paul Lynch
6760,Who was the director of Action?,John Ford
6761,Who was the director of The Shock?,Lambert Hillyer
6762,Who was the director of Between the Lines?,Joan Micklin Silver
6763,Who was the director of Partner?,David Dhawan
6764,Who was the director of Open Season?,Roger Allers
6765,Who was the director of Pilot?,Gene Reynolds
6766,Who was the director of Southern Comfort?,Walter Hill
6767,Who was the director of The Birds?,Alfred Hitchcock
6768,Who was the director of Convicted?,Henry Levin
6769,Who was the director of Marriages?,Cristina Comencini
6770,Who was the director of Empire?,Alexander Sokurov
6771,Who was the director of Competition?,Tom Ricketts
6772,Who was the director of Noise?,Henry Bean
6773,Who was the director of The Balcony?,Joseph Strick
6774,Who was the director of Midnight?,Chester Erskine
6775,Who was the director of Impulse?,Sondra Locke
6776,Who was the director of Family Tree?,Olivier Ducastel
6777,Who was the director of Satyavadi Raja Harishchandra?,Dadasaheb Phalke
6778,Who was the director of Shapes?,David Nutter
6779,Who was the director of In the Bedroom?,Todd Field
6780,Who was the director of Seven?,David Fincher
6781,Who was the director of Blade?,Guillermo del Toro
6782,Who was the director of In the Spirit?,Sandra Seacat
6783,Who was the director of Breaking Bad?,Vince Gilligan
6784,Who was the director of Workforce?,Roxann Dawson
6785,Who was the director of Cure?,Kiyoshi Kurosawa
6786,Who was the director of Three Wishes?,Martha Coolidge
6787,Who was the director of Sunshine?,Danny Boyle
6788,Who was the director of The Roof?,Vittorio De Sica
6789,Who was the director of Ready?,Srinu Vaitla
6790,Who was the director of Pilot?,Pendleton Ward
6791,Who was the director of The Believer?,Henry Bean
6792,Who was the director of The Hour?,Coky Giedroyc
6793,Who was the director of Boys?,Nils Malmros
6794,Who was the director of Sold?,Hugh Ford
6795,Who was the director of Code of Honor?,Les Landau
6796,Who was the director of The Lawyer?,Sidney J. Furie
6797,Who was the director of Berlin?,Yuli Raizman
6798,Who was the director of A New Day?,Brad Anderson
6799,Who was the director of Come and Get It?,William Wyler
6800,Who was the director of Hotel?,Jessica Hausner
6801,Who was the director of The Saint?,Abdur Rashid Kardar
6802,Who was the director of Primary?,Robert Drew
6803,Who was the director of To Spring?,William Hanna
6804,Who was the director of Invasion from Inner Earth?,Bill Rebane
6805,Who was the director of The Pioneers?,Franklyn Barrett
6806,Who was the director of Affinity?,Tim Fywell
6807,Who was the director of Alice Walker: Beauty in Truth?,Pratibha Parmar
6808,Who was the director of Brown Sugar?,Fred Paul
6809,Who was the director of Careful?,Guy Maddin
6810,Who was the director of Mother?,Vsevolod Pudovkin
6811,Who was the director of Tabloid?,Errol Morris
6812,Who was the director of The Situation?,Philip Haas
6813,Who was the director of The Billionaire?,Songyos Sugmakanan
6814,Who was the director of Job Fair?,Tucker Gates
6815,Who was the director of Uno?,Vince Gilligan
6816,Who was the director of Welcome?,Anees Bazmee
6817,Who was the director of The Morning After?,Sidney Lumet
6818,Who was the director of Way Out?,Irvin Yeaworth
6819,Who was the director of The Guitar?,Amy Redford
6820,Who was the director of Broadway Jones?,Joseph Kaufman
6821,Who was the director of Framed?,Dean Parisot
6822,Who was the director of Room?,Lenny Abrahamson
6823,Who was the director of Abel?,Alex van Warmerdam
6824,Who was the director of The Last Word?,Binka Zhelyazkova
6825,Who was the director of The Journey?,Anatole Litvak
6826,Who was the director of The Call of Youth?,Hugh Ford
6827,Who was the director of Escape?,Wyllis Cooper
6828,Who was the director of These Children?,Mario Mattoli
6829,Who was the director of On the Road?,Sam Riley
6830,Who was the director of The Buster Keaton Story?,Sidney Sheldon
6831,Who was the director of Emergency Landing?,Arne Skouen
6832,Who was the director of The Touch?,Ingmar Bergman
6833,Who was the director of Unexpected?,Mike Vejar
6834,Who was the director of The Dub?,James Cruze
6835,Who was the director of The Lineup?,Don Siegel
6836,Who was the director of The Moment?,Gheorghe Vitanidis
6837,Who was the director of Saw II?,Darren Lynn Bouseman
6838,Who was the director of Grease?,Randal Kleiser
6839,Who was the director of L'ultima chance?,Maurizio Lucidi
6840,Who was the director of Pilot?,Peter Horton
6841,Who was the director of Valentín?,Alejandro Agresti
6842,Who was the director of La Rival?,Chano Urueta
6843,Who was the director of Hunting?,Frank Howson
6844,Who was the director of Apocalypse II: Revelation?,Cloud Ten Pictures
6845,Who was the director of Phoenix?,Christian Petzold
6846,Who was the director of Echo?,Hossein Shahabi
6847,Who was the director of Partition?,Vic Sarin
6848,Who was the director of Dave?,Ivan Reitman
6849,Who was the director of Gold?,Karl Hartl
6850,Who was the director of Chase?,Jag Mundhra
6851,Who was the director of Ji?,N. Lingusamy
6852,Who was the director of Lucy?,Luc Besson
6853,Who was the director of Tap?,Nick Castle
6854,Who was the director of Genesis?,Mrinal Sen
6855,Who was the director of Up!?,Russ Meyer
6856,Who was the director of Tomorrow Is Yesterday?,Michael O'Herlihy
6857,Who was the director of The Trap?,Frank Reicher
6858,Who was the director of Mira?,Fons Rademakers
6859,Who was the director of Malcolm?,Nadia Tass
6860,Who was the director of The Count?,Charlie Chaplin
6861,Who was the director of Sunday?,Charles McDougall
6862,Who was the director of Queen?,Vikas Bahl
6863,Who was the director of Cocktail?,Herman Yau
6864,Who was the director of Party?,Govind Nihalani
6865,Who was the director of Independence Day UK?,Dirk Maggs
6866,Who was the director of The Sea?,Baltasar Kormákur
6867,Who was the director of Rainbow?,Mark Donskoy
6868,Who was the director of Mist in the Valley?,Cecil Hepworth
6869,Who was the director of Lost Command?,Mark Robson
6870,Who was the director of The Third Day?,Jack Smight
6871,Who was the director of The Weekend?,Michael Cuesta
6872,Who was the director of Gorgeous?,Vincent Kok
6873,Who was the director of The Secrets?,Avi Nesher
6874,Who was the director of Super?,Puri Jagannadh
6875,Who was the director of The Lovers?,Tsui Hark
6876,Who was the director of Pedar?,Majid Majidi
6877,Who was the director of Zapata: El sueño de un héroe?,Alfonso Arau
6878,Who was the director of Hum Paanch?,Bapu
6879,Who was the director of Accepted?,Steve Pink
6880,Who was the director of The Kingdom?,Peter Berg
6881,Who was the director of Big?,Penny Marshall
6882,Who was the director of Mother and Child?,Hans Steinhoff
6883,Who was the director of The Trap?,Robert Thornby
6884,Who was the director of Gold?,Otto Brower
6885,Who was the director of Normal?,Jesse Peretz
6886,Who was the director of Coming of Age?,Mike Vejar
6887,Who was the director of Pig?,Rozz Williams
6888,Who was the director of Birthday?,Michael Grossman
6889,Who was the director of Annie?,John Huston
6890,Who was the director of Michael?,Carl Theodor Dreyer
6891,Who was the director of One on One?,Kim Ki-duk
6892,Who was the director of Next?,Lee Tamahori
6893,Who was the director of Elf?,Jon Favreau
6894,Who was the director of Barricade?,Timo Rose
6895,Who was the director of Kandathum Kettathum?,Balachandra Menon
6896,Who was the director of The Amazing Mr Blunden?,Lionel Jeffries
6897,Who was the director of Miranda?,Ken Annakin
6898,Who was the director of The Pigskin Palooka?,Gordon Douglas
6899,Who was the director of The Naked Now?,Paul Lynch
6900,Who was the director of Our Time?,Peter Hyams
6901,Who was the director of 15?,Royston Tan
6902,Who was the director of Since?,Andy Warhol
6903,Who was the director of Shiva?,Ronit Elkabetz
6904,Who was the director of Public Opinion?,Frank Reicher
6905,Who was the director of The Hand?,Oliver Stone
6906,Who was the director of Stonewall?,Roland Emmerich
6907,Who was the director of Jack?,Jeff Woolnough
6908,Who was the director of The City?,Harvey Hart
6909,Who was the director of Drift?,Morgan O'Neill
6910,Who was the director of Break Up?,Marco Ferreri
6911,Who was the director of Hellboy?,Guillermo del Toro
6912,Who was the director of The Band?,Avi Nesher
6913,Who was the director of Hungry?,Kim Manners
6914,Who was the director of College?,Giuseppe Moccia
6915,Who was the director of Only You?,Betty Thomas
6916,Who was the director of Stay?,Marc Forster
6917,Who was the director of The Galileo Seven?,Robert Gist
6918,Who was the director of The St. Valentine's Day Massacre?,Roger Corman
6919,Who was the director of The Crash?,William Dieterle
6920,Who was the director of Royal Pudding?,Trey Parker
6921,Who was the director of Pilot?,Danny Cannon
6922,Who was the director of The Confession?,David Hugh Jones
6923,Who was the director of One Day?,Lone Scherfig
6924,Who was the director of Blow?,Ted Demme
6925,Who was the director of Blood?,David Nutter
6926,Who was the director of Song of Nevada?,Joseph Kane
6927,Who was the director of Marked for Murder?,Elmer Clifton
6928,Who was the director of Beta?,Indra Kumar
6929,Who was the director of The Fast and the Furious?,Rob Cohen
6930,Who was the director of Baxter!?,Lionel Jeffries
6931,Who was the director of Witch?,Stephen Cragg
6932,Who was the director of Taken?,Pierre Morel
6933,Who was the director of Rebellion?,Herman Yau
6934,Who was the director of Lakshmana Rekha?,I. V. Sasi
6935,Who was the director of Johnny?,Pawan Kalyan
6936,Who was the director of Enclosure?,Armand Gatti
6937,Who was the director of The Ogre?,Lamberto Bava
6938,Who was the director of Sandwich?,Anees Bazmee
6939,Who was the director of The Delta?,Ira Sachs
6940,Who was the director of Another Toothpick?,Jack Bender
6941,Who was the director of Poison?,Todd Haynes
6942,Who was the director of My Past?,Roy Del Ruth
6943,Who was the director of The Spoilers?,Ray Enright
6944,Who was the director of Isolation?,Billy O'Brien
6945,Who was the director of The Rescue?,Christopher Barry
6946,Who was the director of Three Times?,Hou Hsiao-Hsien
6947,Who was the director of The Clock?,Christian Marclay
6948,Who was the director of Pilot?,Mark Piznarski
6949,Who was the director of Between God?,Marino Girolami
6950,Who was the director of Stronger Than Desire?,Leslie Fenton
6951,Who was the director of Day by Day?,Alfredo Giannetti
6952,Who was the director of Brothers?,Jim Sheridan
6953,Who was the director of The Jacket?,Tom Cherones
6954,Who was the director of The Debt?,Mahmoud Shoolizadeh
6955,Who was the director of Our Children?,Joachim Lafosse
6956,Who was the director of The Return of the Archons?,Joseph Pevney
6957,Who was the director of Shaft?,John Singleton
6958,Who was the director of Gniazdo?,Jan Rybkowski
6959,Who was the director of Monster?,Perry Lang
6960,Who was the director of Heaven?,Diane Keaton
6961,Who was the director of Fun?,Rafal Zielinski
6962,Who was the director of Great Expectations?,Jason Winer
6963,Who was the director of Toss?,Priyadarshini Ram
6964,Who was the director of The List?,Beth Murphy
6965,Who was the director of Amy?,Vincent McEveety
6966,Who was the director of The Innocent?,Luchino Visconti
6967,Who was the director of The Debt?,Frank Powell
6968,Who was the director of Pilot?,Mark Mylod
6969,Who was the director of Kagemusha?,Akira Kurosawa
6970,Who was the director of The Sugarland Express?,Steven Spielberg
6971,Who was the director of Silence?,Martin Scorsese
6972,Who was the director of ABCD: Any Body Can Dance 2?,Remo D'Souza
6973,Who was the director of Irresistible?,David Nutter
6974,Who was the director of The Image?,Peter Werner
6975,Who was the director of Imagine?,John Lennon
6976,Who was the director of Parade?,Jacques Tati
6977,Who was the director of Sanguinarium?,Kim Manners
6978,Who was the director of The Family?,Luc Besson
6979,Who was the director of The Plague?,Luis Puenzo
6980,Who was the director of Crossover?,John Guillermin
6981,Who was the director of I Don't Understand You Anymore?,Sergio Corbucci
6982,Who was the director of The Day?,Alfred Rolfe
6983,Who was the director of Devotion?,Curtis Bernhardt
6984,Who was the director of Sounds Like?,Brad Anderson
6985,Who was the director of Voyage to the Planet of Prehistoric Women?,Peter Bogdanovich
6986,Who was the director of The Cup?,Dzongsar Jamyang Khyentse Rinpoche
6987,Who was the director of The Small Town?,Nuri Bilge Ceylan
6988,Who was the director of Pilot?,Bryan Gordon
6989,Who was the director of A Day in the Life?,Sticky Fingaz
6990,Who was the director of Atlantic?,Ewald André Dupont
6991,Who was the director of The Girl?,David Riker
6992,Who was the director of Le Guérisseur?,Yves Ciampi
6993,Who was the director of Legend?,Ridley Scott
6994,Who was the director of Corporate?,Madhur Bhandarkar
6995,Who was the director of The Brotherhood?,David DeCoteau
6996,Who was the director of Locked In?,Suri Krishnamma
6997,Who was the director of The Unknown?,Henry Levin
6998,Who was the director of Terry?,Don McBrearty
6999,Who was the director of Rome-Paris-Rome?,Luigi Zampa
7000,Who was the director of Forever?,Alessandro Di Robilant
7001,Who was the director of Spaced?,Edgar Wright
7002,Who was the director of Man of the House?,Stephen Herek
7003,Who was the director of Compass?,Michael Katleman
7004,Who was the director of Together?,Lukas Moodysson
7005,Who was the director of Sweet Home?,Kiyoshi Kurosawa
7006,Who was the director of Weapons?,Adam Bhala Lough
7007,Who was the director of Camera?,David Cronenberg
7008,Who was the director of The Addiction?,Abel Ferrara
7009,Who was the director of The Queen?,Stephen Frears
7010,Who was the director of The Ghost?,Herbert Achternbusch
7011,Who was the director of The Photo?,Hossein Shahabi
7012,Who was the director of Open House?,David Slade
7013,Who was the director of The Cube?,Jim Henson
7014,Who was the director of The Image?,Radley Metzger
7015,Who was the director of Premiere?,Walter Summers
7016,Who was the director of Eros Plus Massacre?,Yoshishige Yoshida
7017,Who was the director of Camp?,Andy Warhol
7018,Who was the director of The Forest?,Leonel Vieira
7019,Who was the director of Mac?,John Turturro
7020,Who was the director of Hackers?,Iain Softley
7021,Who was the director of The Nun?,Jacques Rivette
7022,Who was the director of Hotel Noir?,Sebastian Gutierrez
7023,Who was the director of Chaos?,Coline Serreau
7024,Who was the director of Calendar?,Atom Egoyan
7025,Who was the director of Side by Side?,Bruce Beresford
7026,Who was the director of Spirit?,Ranjith
7027,Who was the director of Final?,Campbell Scott
7028,Who was the director of The Clock?,Vincente Minnelli
7029,Who was the director of Taxi?,Jafar Panahi
7030,Who was the director of Slim?,Ray Enright
7031,Who was the director of Rebel?,Raghava Lawrence
7032,Who was the director of Bingo?,Jean-Claude Lord
7033,Who was the director of The Host?,Daniel Sackheim
7034,Who was the director of The Hand?,Henry Cass
7035,Who was the director of Public Toilet?,Fruit Chan
7036,Who was the director of Head?,Howard Deutch
7037,Who was the director of The Crocodile's Dilemma?,Adam Bernstein
7038,Who was the director of Secret?,Jay Chou
7039,Who was the director of El Cid?,Anthony Mann
7040,Who was the director of Rocky?,Sunil Dutt
7041,Who was the director of Never Look Back?,Francis Searle
7042,Who was the director of Interview?,Theo van Gogh
7043,Who was the director of The Chicken?,Claude Berri
7044,Who was the director of Oliver's Story?,John Korty
7045,Who was the director of Into the Wild?,Sean Penn
7046,Who was the director of Common Ground?,Donna Deitch
7047,Who was the director of F?,Johannes Roberts
7048,Who was the director of Big Dreams Little Tokyo?,Dave Boyle
7049,Who was the director of On My Way?,Emmanuelle Bercot
7050,Who was the director of Postal?,Uwe Boll
7051,Who was the director of Hilde Warren und der Tod?,Joe May
7052,Who was the director of Mission: Impossible 2?,John Woo
7053,Who was the director of A Rowboat Romance?,Roscoe Arbuckle
7054,Who was the director of Interview?,Steve Buscemi
7055,Who was the director of Renaissance?,Christian Volckman
7056,Who was the director of The Verdict?,Sidney Lumet
7057,Who was the director of Barry McKenzie Holds His Own?,Bruce Beresford
7058,Who was the director of Plastic?,Julian Gilbey
7059,Who was the director of Cheech & Chong's The Corsican Brothers?,Tommy Chong
7060,Who was the director of Chemistry?,Viji Thampi
7061,Who was the director of Crash 'n' Burn?,Ross McLaren
7062,Who was the director of The Perfect Man?,Mark Rosman
7063,Who was the director of Wink of an Eye?,Jud Taylor
7064,Who was the director of Singh Is Kinng?,Anees Bazmee
7065,Who was the director of Madea Gets a Job?,Tyler Perry
7066,Who was the director of Janmandharam?,Thampi Kannanthanam
7067,Who was the director of Metroland?,Philip Saville
7068,Who was the director of The Sea?,Wanda Jakubowska
7069,Who was the director of Fear Strikes Out?,Robert Mulligan
7070,Who was the director of Going Places?,Ray Enright
7071,Who was the director of Lost?,J. J. Abrams
7072,Who was the director of Monday?,Kim Manners
7073,Who was the director of Anything Else?,Woody Allen
7074,Who was the director of The Woman on the Jury?,Harry O. Hoyt
7075,Who was the director of Interview?,J. Sasikumar
7076,Who was the director of First Love?,Joan Darling
7077,Who was the director of Shame?,Ingmar Bergman
7078,Who was the director of Free Love?,Hobart Henley
7079,Who was the director of March or Die?,Dick Richards
7080,Who was the director of The Rebel?,Aurelio Grimaldi
7081,Who was the director of Frequency?,Gregory Hoblit
7082,Who was the director of High Risk?,Wong Jing
7083,Who was the director of Daniel?,Sidney Lumet
7084,Who was the director of Invasion?,Tony Phelan
7085,Who was the director of Puzzle?,Duccio Tessari
7086,Who was the director of One Night?,Lucas Belvaux
7087,Who was the director of Unknown?,Jaume Collet-Serra
7088,Who was the director of The Changeling?,Peter Medak
7089,Who was the director of The Ragman's Daughter?,Harold Becker
7090,Who was the director of Hell on Wheels?,David Von Ancken
7091,Who was the director of History Lessons?,Straub-Huillet
7092,Who was the director of He?,Rouzbeh Rashidi
7093,Who was the director of Rising?,Martin Wood
7094,Who was the director of An Event?,Vatroslav Mimica
7095,Who was the director of The Con?,Steven Schachter
7096,Who was the director of London?,Sundar C.
7097,Who was the director of The Land?,Youssef Chahine
7098,Who was the director of Iron Man?,Jon Favreau
7099,Who was the director of Cars?,Joe Ranft
7100,Who was the director of The Exchange?,Eran Kolirin
7101,Who was the director of Qayamat Se Qayamat Tak?,Mansoor Khan
7102,Who was the director of 2002?,Wilson Yip
7103,Who was the director of Face to Face?,Ingmar Bergman
7104,Who was the director of The Party?,Blake Edwards
7105,Who was the director of Rio?,John Brahm
7106,Who was the director of New Mexico?,Irving Reis
7107,Who was the director of Geordie?,Frank Launder
7108,Who was the director of Slaves of New York?,James Ivory
7109,"Who was the director of Stupid, But Brave?",Roscoe Arbuckle
